m_mchamp (GeV)	e_reco		xs (pb)			effLumi	      expBG   eBGerr  obs     obsLim  expLim  expLo1  expHi1  expLo2  expHi2

100		0.0051		+1.8800000000E+00	4151.58       1325.78 46      1247    78.8461 124.368 86.3631 163.09  75.2379 220.019
200		0.0122		+1.4020000000E-01	4151.58       1069.42 33      1028    69.8421 98.6392 67.7325 129.807 57.5015 175.312
300		0.0123		+2.6220000000E-02	4151.58       738.315 21      694     46.1243 73.2224 50.1017 96.7125 39.7238 130.762
400		0.0127		+6.9680000000E-03	4151.58       473.01  13      470     49.5739 54.4178 37.1051 72.0668 28.371  97.5355
500		0.0119		+2.2570000000E-03	4151.58       342.331 9.00001 331     35.0768 44.5102 30.2895 59.0262 22.8159 79.9399
600		0.0129		+8.1830000000E-04	4151.58       311.37  8.00001 306     36.3146 42.0185 28.5816 55.7363 21.4674 75.4941
700		0.0127		+3.2280000000E-04	4151.58       263.554 7.00001 265     37.6103 38.4959 26.1666 51.0825 19.618  69.2196
800		0.0139		+1.3330000000E-04	4151.58       263.554 7.00001 265     37.6103 38.4959 26.1666 51.0825 19.618  69.2196
900		0.0141		+5.7640000000E-05	4151.58       213.82  6.00001 218     35.9918 34.6035 23.5041 45.9349 17.5941 62.3005
1000		0.0145		+2.5400000000E-05	4151.58       213.82  6.00001 218     35.9918 34.6035 23.5041 45.9349 17.5941 62.3005
