m_mchamp (GeV)	e_reco		xs (pb)

100             0.0051          +1.8800000000E+00
200             0.0122          +1.4020000000E-01
300             0.0123          +2.6220000000E-02
400             0.0127          +6.9680000000E-03
500             0.0119          +2.2570000000E-03
600             0.0129          +8.1830000000E-04
700             0.0127          +3.2280000000E-04
800             0.0139          +1.3330000000E-04
900             0.0141          +5.7640000000E-05
1000            0.0145          +2.5400000000E-05
