m_mchamp (GeV)	e_reco		xs (pb)			effLumi		expBG	eBGerr	obs	obsLim	expLim	expLo1	expHi1  expLo2  expHi2

100		0.004		+1.8800000000E+00	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361
200		0.012		+1.4020000000E-01	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361
300		0.012		+2.6220000000E-02	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361
400		0.012		+6.9680000000E-03	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361
500		0.012		+2.2570000000E-03	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361
600		0.013		+8.1830000000E-04	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361
700		0.013		+3.2280000000E-04	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361
800		0.014		+1.3330000000E-04	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361
900		0.015		+5.7640000000E-05	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361
1000		0.015		+2.5400000000E-05	4151.58         3251.12 70.0001 3251    185.993 198.495 136.042 261.462 118.084 355.361

